epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.321045,1.0059,1.95773,2.95268,1.2726,0.6744,0.63333,0.74608,0.48496,0.64167,0.53333,0.60537,0.44038,1.67081,2.67531,1.40831,1.38961,0,0,0
2,0.457479,1.28527,3.6816,2.74248,1.56083,0.67966,0.63333,0.74608,0.48563,0.66003,0.6,0.62031,0.44065,1.65868,2.67282,1.3979,1.38604,1.16644e-06,1.16644e-06,1.16644e-06
3,0.635195,1.25624,2.65175,3.27454,1.42109,0.68108,0.63333,0.741,0.49863,0.66136,0.6,0.61675,0.43938,1.65266,2.66999,1.38874,1.38385,2.28575e-06,2.28575e-06,2.28575e-06
4,0.783202,0.95869,2.56879,2.77804,1.19064,0.68815,0.63333,0.77874,0.51816,0.66711,0.6,0.61624,0.43798,1.64303,2.66809,1.38363,1.38495,3.35794e-06,3.35794e-06,3.35794e-06
5,0.966111,0.97559,2.46967,3.28193,1.32097,0.69936,0.63333,0.74422,0.50513,0.68807,0.61667,0.63266,0.44032,1.62907,2.66657,1.39197,1.38068,4.38301e-06,4.38301e-06,4.38301e-06
6,1.13501,1.0449,3.28369,2.32272,1.24505,0.70891,0.62931,0.77406,0.51629,0.68775,0.6,0.61333,0.43704,1.60836,2.66266,1.39187,1.37372,5.36095e-06,5.36095e-06,5.36095e-06
7,1.29961,1.23804,2.73952,3.32116,1.52536,0.72775,0.62957,0.78978,0.51948,0.6994,0.59623,0.62174,0.43466,1.60483,2.66664,1.39069,1.37589,6.29177e-06,6.29177e-06,6.29177e-06
8,1.4599,1.08373,2.88401,3.94893,1.41098,0.71931,0.61667,0.81531,0.53853,0.62593,0.53333,0.63128,0.4519,1.60619,2.6571,1.3916,1.38029,7.17546e-06,7.17546e-06,7.17546e-06
9,1.62882,1.12012,2.47577,2.6306,1.33878,0.70644,0.6,0.89538,0.61013,0.64214,0.6,0.82329,0.50337,1.60402,2.65794,1.38574,1.37951,8.01203e-06,8.01203e-06,8.01203e-06
