epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,407.255,0.56021,0.81461,0.46641,1.02382,0.99749,0.96774,0.96602,0.91324,0.99749,0.96774,0.96602,0.91687,0.37853,0.8319,0.33054,0.90527,0.001043,0.001043,0.001043
31,420.337,0.51728,0.74499,0.43,1.01519,0.9973,0.96774,0.968,0.90872,0.9973,0.96774,0.968,0.91106,0.36924,0.57385,0.28075,0.91462,0.00101,0.00101,0.00101
32,433.738,0.52123,0.80108,0.43885,1.023,0.99763,0.96774,0.96702,0.88446,0.99763,0.96774,0.96702,0.87126,0.36603,0.84034,0.29242,0.97411,0.000977,0.000977,0.000977
33,448.574,0.48796,0.78652,0.41434,1.00606,0.99661,0.96774,0.96933,0.91988,0.99661,0.96774,0.96933,0.90889,0.31403,0.92244,0.25916,0.93057,0.000944,0.000944,0.000944
34,464.348,0.48169,0.75934,0.40977,0.99724,0.9968,0.96774,0.96776,0.92507,0.9968,0.96774,0.96776,0.93151,0.30178,0.7802,0.27669,0.87318,0.000911,0.000911,0.000911
35,480.148,0.4893,0.76146,0.41896,0.99606,0.99756,0.96774,0.97031,0.89323,0.99756,0.96774,0.97031,0.90623,0.38477,0.97303,0.27347,0.97074,0.000878,0.000878,0.000878
36,496.084,0.46775,0.71076,0.38971,0.99021,0.99813,0.96774,0.9684,0.90555,0.99813,0.96774,0.9684,0.90723,0.37479,0.60622,0.26181,0.91435,0.000845,0.000845,0.000845
37,509.287,0.48193,0.6985,0.40574,1.00403,0.99809,0.96774,0.96779,0.92869,0.99809,0.96774,0.96779,0.92493,0.31276,0.72266,0.25165,0.89779,0.000812,0.000812,0.000812
38,522.19,0.45503,0.70344,0.4047,0.9975,0.9981,0.96774,0.96745,0.92135,0.9981,0.96774,0.96745,0.92437,0.33557,0.52075,0.26016,0.89708,0.000779,0.000779,0.000779
39,535.124,0.46428,0.71455,0.39842,0.99039,0.99805,0.96774,0.96885,0.90893,0.99805,0.96774,0.96885,0.90883,0.35589,0.80461,0.2498,0.94926,0.000746,0.000746,0.000746
40,548.008,0.43191,0.70087,0.3726,0.97315,0.99794,0.96774,0.96701,0.9291,0.99794,0.96774,0.96701,0.93495,0.28219,0.48331,0.25497,0.86646,0.000713,0.000713,0.000713
41,561.011,0.41247,0.65379,0.35116,0.96432,0.99817,0.96774,0.97533,0.93653,0.99817,0.96774,0.97533,0.94345,0.32794,0.56737,0.23643,0.94276,0.00068,0.00068,0.00068
42,574.091,0.41737,0.61904,0.35595,0.97391,0.99793,0.96774,0.97087,0.93076,0.99793,0.96774,0.97087,0.9091,0.30184,0.95957,0.24086,0.92987,0.000647,0.000647,0.000647
43,589.451,0.4281,0.60798,0.35905,0.97587,0.99817,0.96774,0.97829,0.94371,0.99817,0.96774,0.97829,0.9312,0.30604,0.7613,0.22194,0.92696,0.000614,0.000614,0.000614
44,604.962,0.42263,0.66324,0.37681,0.97514,0.99776,0.96774,0.97496,0.93168,0.99776,0.96774,0.97496,0.91827,0.32037,0.68224,0.21553,0.94192,0.000581,0.000581,0.000581
45,620.334,0.41374,0.65284,0.35823,0.97347,0.99812,0.96774,0.97415,0.92783,0.99812,0.96774,0.97415,0.93002,0.30706,0.73164,0.22316,0.9128,0.000548,0.000548,0.000548
46,634.512,0.37695,0.58895,0.32819,0.95037,0.9982,0.96774,0.97861,0.95497,0.9982,0.96774,0.97861,0.9559,0.29207,0.75425,0.22035,0.86903,0.000515,0.000515,0.000515
47,647.6,0.41577,0.61798,0.34837,0.96528,0.99821,0.96774,0.97713,0.92822,0.99821,0.96774,0.97713,0.91474,0.33293,0.87162,0.22033,0.97374,0.000482,0.000482,0.000482
48,660.526,0.36826,0.57064,0.31639,0.93562,0.99815,0.96774,0.97553,0.92192,0.99815,0.96774,0.97553,0.92321,0.30095,0.75424,0.21745,0.9447,0.000449,0.000449,0.000449
49,673.421,0.3988,0.63766,0.34138,0.96284,0.99818,0.96774,0.97713,0.94429,0.99818,0.96774,0.97713,0.93878,0.26899,0.62211,0.20525,0.87893,0.000416,0.000416,0.000416
50,686.295,0.36881,0.58953,0.32488,0.95002,0.99827,0.96774,0.97895,0.93609,0.99827,0.96774,0.97895,0.93478,0.30844,0.68661,0.21271,0.90078,0.000383,0.000383,0.000383
51,699.539,0.23546,0.29848,0.21314,0.86759,0.99821,0.96774,0.98094,0.95736,0.99821,0.96774,0.98094,0.94297,0.27853,0.61631,0.20219,0.87386,0.00035,0.00035,0.00035
52,712.467,0.22784,0.26531,0.20259,0.85368,1,0.96774,0.9836,0.95499,1,0.96774,0.9836,0.94344,0.29426,0.71015,0.2031,0.9142,0.000317,0.000317,0.000317
53,725.364,0.22187,0.26595,0.19831,0.85748,0.99826,0.96774,0.983,0.96551,0.99826,0.96774,0.983,0.95662,0.25745,0.58833,0.18871,0.85752,0.000284,0.000284,0.000284
54,738.389,0.21562,0.25767,0.19638,0.84595,0.99826,0.96774,0.983,0.97364,0.99826,0.96774,0.983,0.95876,0.23427,0.74252,0.17712,0.84103,0.000251,0.000251,0.000251
55,751.396,0.20221,0.23623,0.19149,0.84279,0.99825,0.96774,0.98244,0.97373,0.99825,0.96774,0.98244,0.95958,0.22681,0.50218,0.17227,0.82676,0.000218,0.000218,0.000218
56,764.415,0.18907,0.23515,0.18484,0.83031,0.99828,0.96774,0.98244,0.97466,0.99828,0.96774,0.98244,0.96084,0.22822,0.54406,0.17201,0.83015,0.000185,0.000185,0.000185
57,777.469,0.16984,0.22877,0.17144,0.82806,0.99829,0.96774,0.983,0.97415,0.99829,0.96774,0.983,0.96168,0.20105,0.57859,0.16662,0.81831,0.000152,0.000152,0.000152
58,790.472,0.1673,0.21913,0.16245,0.81896,1,0.96774,0.9836,0.97771,1,0.96774,0.9836,0.9623,0.21013,0.55918,0.16272,0.82529,0.000119,0.000119,0.000119
59,803.489,0.15781,0.21786,0.16124,0.81788,1,0.96774,0.9836,0.97378,1,0.96774,0.9836,0.96195,0.2167,0.57657,0.17017,0.8262,8.6e-05,8.6e-05,8.6e-05
60,816.407,0.15153,0.21727,0.15351,0.82304,1,0.96774,0.9836,0.97523,1,0.96774,0.9836,0.96127,0.19845,0.56028,0.15387,0.81375,5.3e-05,5.3e-05,5.3e-05
