epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,397.463,0.57865,1.04738,0.48338,1.09834,0.99793,0.96774,0.96946,0.89103,0.99793,0.96774,0.96946,0.88993,0.44071,0.56412,0.32392,0.95414,0.001043,0.001043,0.001043
31,410.512,0.56859,1.0015,0.46515,1.0926,0.99448,0.96774,0.96998,0.92471,0.99448,0.96774,0.96998,0.91016,0.35705,0.62724,0.28641,0.91396,0.00101,0.00101,0.00101
32,423.692,0.59292,1.01833,0.48099,1.09851,0.99676,0.96774,0.96625,0.90021,0.99676,0.96774,0.96625,0.87288,0.40038,0.6604,0.4769,0.93583,0.000977,0.000977,0.000977
33,436.781,0.57423,0.97478,0.45574,1.08921,0.99813,0.96774,0.97234,0.91065,0.99813,0.96774,0.97234,0.91184,0.40325,0.63943,0.28612,0.97806,0.000944,0.000944,0.000944
34,449.829,0.5395,0.9453,0.47133,1.06447,0.99812,0.96774,0.97297,0.912,0.99812,0.96774,0.97297,0.91062,0.37214,0.81138,0.28025,0.98756,0.000911,0.000911,0.000911
35,462.906,0.48691,0.89835,0.41488,1.0303,0.99813,0.96774,0.97042,0.89598,0.99813,0.96774,0.97042,0.89165,0.38017,0.73981,0.26428,0.97256,0.000878,0.000878,0.000878
36,476.078,0.54884,0.97927,0.44962,1.07246,0.99797,0.96774,0.96687,0.92356,0.99797,0.96774,0.96687,0.90831,0.31099,0.69046,0.25661,0.92004,0.000845,0.000845,0.000845
37,489.234,0.53677,0.90381,0.43292,1.06483,0.99787,0.96774,0.96946,0.91002,0.99787,0.96774,0.96946,0.91348,0.37328,0.78804,0.26216,0.95168,0.000812,0.000812,0.000812
38,502.379,0.53556,0.88874,0.44342,1.07048,0.99795,0.96774,0.96592,0.91397,0.99795,0.96774,0.96592,0.94297,0.35066,0.47658,0.3033,0.90816,0.000779,0.000779,0.000779
39,515.612,0.50564,0.92895,0.42295,1.06706,0.99806,0.96774,0.9672,0.93253,0.99806,0.96774,0.9672,0.91881,0.30215,0.53042,0.27553,0.88615,0.000746,0.000746,0.000746
40,528.74,0.51013,0.89911,0.43918,1.05347,0.99741,0.96774,0.96622,0.92331,0.99741,0.96774,0.96622,0.90894,0.35157,0.61766,0.26361,0.9366,0.000713,0.000713,0.000713
41,541.876,0.4715,0.81604,0.40961,1.01654,0.99766,0.96774,0.96981,0.92186,0.99766,0.96774,0.96981,0.89754,0.35377,0.79467,0.25689,0.96559,0.00068,0.00068,0.00068
42,554.967,0.50689,0.88937,0.4155,1.06428,0.9972,0.96774,0.96695,0.9507,0.9972,0.96774,0.96695,0.94311,0.24997,0.50476,0.27853,0.87028,0.000647,0.000647,0.000647
43,568.172,0.47826,0.89659,0.41026,1.04031,0.99816,0.96774,0.97297,0.92858,0.99816,0.96774,0.97297,0.92919,0.34193,0.67098,0.2425,0.9339,0.000614,0.000614,0.000614
44,581.329,0.47759,0.84013,0.40247,1.02809,0.99801,0.96774,0.97264,0.96436,0.99801,0.96774,0.97264,0.93956,0.27472,0.49533,0.22232,0.87519,0.000581,0.000581,0.000581
45,594.566,0.47911,0.77654,0.40294,1.03032,0.99811,0.96774,0.97275,0.95035,0.99811,0.96774,0.97275,0.94093,0.29472,0.59112,0.22633,0.8937,0.000548,0.000548,0.000548
46,607.67,0.45963,0.77649,0.38803,1.01447,0.99816,0.96774,0.97021,0.94334,0.99816,0.96774,0.97021,0.92871,0.2734,0.52695,0.21572,0.86418,0.000515,0.000515,0.000515
47,620.784,0.47875,0.85349,0.39421,1.02935,0.99821,0.96774,0.97149,0.9299,0.99821,0.96774,0.97149,0.90013,0.31946,0.77192,0.23855,0.93485,0.000482,0.000482,0.000482
48,633.916,0.44095,0.73989,0.35846,1.00786,0.99822,0.96774,0.97244,0.96366,0.99822,0.96774,0.97244,0.94326,0.24513,0.48606,0.21657,0.85009,0.000449,0.000449,0.000449
49,647.171,0.44218,0.76556,0.3743,1.01246,0.99825,0.96774,0.97372,0.96455,0.99825,0.96774,0.97372,0.94937,0.24976,0.4376,0.20969,0.84402,0.000416,0.000416,0.000416
50,660.393,0.40257,0.74244,0.35727,0.97548,0.99826,0.96774,0.97515,0.94097,0.99826,0.96774,0.97515,0.9112,0.31319,0.76963,0.214,0.95508,0.000383,0.000383,0.000383
51,673.762,0.29477,0.46347,0.25197,0.89916,0.99814,0.96774,0.97662,0.94633,0.99814,0.96774,0.97662,0.94648,0.28119,0.48385,0.23303,0.8868,0.00035,0.00035,0.00035
52,686.881,0.30479,0.4541,0.24322,0.91431,0.99824,0.96774,0.98244,0.96486,0.99824,0.96774,0.98244,0.95152,0.27538,0.67816,0.21546,0.91282,0.000317,0.000317,0.000317
53,700.099,0.27099,0.40922,0.22756,0.88315,1,0.96774,0.9836,0.97044,1,0.96774,0.9836,0.9538,0.28802,0.61355,0.2108,0.90451,0.000284,0.000284,0.000284
54,713.305,0.27469,0.41192,0.22961,0.88739,1,0.96774,0.9836,0.95814,1,0.96774,0.9836,0.96178,0.27893,0.56052,0.21411,0.86996,0.000251,0.000251,0.000251
55,726.395,0.266,0.38928,0.22848,0.88461,0.99823,0.96774,0.983,0.96527,0.99823,0.96774,0.983,0.95745,0.2603,0.72705,0.18799,0.91813,0.000218,0.000218,0.000218
56,739.505,0.251,0.3683,0.21185,0.87485,0.99826,0.96774,0.983,0.96771,0.99826,0.96774,0.983,0.95778,0.26934,0.71679,0.19657,0.91974,0.000185,0.000185,0.000185
57,752.713,0.24334,0.37282,0.2062,0.86545,0.99822,0.96774,0.983,0.97122,0.99822,0.96774,0.983,0.95649,0.22894,0.55295,0.18349,0.87356,0.000152,0.000152,0.000152
58,765.938,0.23334,0.35552,0.20021,0.86556,1,0.96774,0.9836,0.96612,1,0.96774,0.9836,0.95044,0.26021,0.65041,0.191,0.90077,0.000119,0.000119,0.000119
59,779.041,0.21525,0.35275,0.19402,0.84558,1,0.96774,0.9836,0.96224,1,0.96774,0.9836,0.95192,0.23738,0.65006,0.17821,0.89596,8.6e-05,8.6e-05,8.6e-05
60,792.173,0.19866,0.33747,0.1885,0.83639,1,0.96774,0.9836,0.96971,1,0.96774,0.9836,0.94943,0.23523,0.64815,0.1684,0.89204,5.3e-05,5.3e-05,5.3e-05
