epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.02431,1.13857,2.94594,2.00597,1.42926,1,0.39459,0.90937,0.62448,1,0.39459,0.79189,0.39585,0.90167,3.16754,2.69782,1.42494,0.00064,0.00064,0.00064
2,7.7734,1.0089,1.88589,1.35721,1.2848,0.93472,0.92396,0.95408,0.65745,0.93472,0.92396,0.93977,0.69736,1.05442,1.87441,1.8812,1.67024,0.0010426,0.0010426,0.0010426
3,11.4394,0.89413,1.61409,1.14264,1.19816,0.99442,0.93548,0.93663,0.73171,0.99442,0.93548,0.93663,0.56947,0.83154,2.8781,1.27693,1.34827,0.00118384,0.00118384,0.00118384
4,15.0987,0.79472,1.37512,0.95337,1.11925,0.9948,0.90323,0.95813,0.7999,0.9948,0.90323,0.9604,0.79498,0.60592,1.0215,0.89818,1.05437,0.000812,0.000812,0.000812
5,18.7881,0.68099,1.17587,0.83843,1.06031,0.99735,0.96774,0.96506,0.88144,0.99735,0.96774,0.96506,0.84004,0.47245,1.01105,0.64377,1.01065,0.000416,0.000416,0.000416
